Data processed on: 2025-10-04T15:19:24
iter, measured, state-pred, uncertainty
0,2.004,0.000,0.000
1,-7.464,0.005,0.000
2,7.216,0.020,0.000
3,-5.316,0.045,0.001
4,-4.486,0.080,0.001
5,-3.69,0.125,0.002
6,1.747,0.180,0.003
7,-1.116,0.245,0.005
8,-1.802,0.320,0.006
9,5.635,0.405,0.008
10,10.122,0.501,0.010
11,0.86,0.606,0.013
12,-1.197,0.721,0.015
13,-3.291,0.845,0.018
14,-7.908,0.978,0.021
15,7.496,1.125,0.025
16,2.452,1.280,0.029
17,-8.523,1.442,0.033
18,-7.486,1.613,0.038
19,0.168,1.797,0.043
20,8.121,1.994,0.048
21,-4.878,2.195,0.053
22,-1.128,2.408,0.059
23,12.243,2.638,0.065
24,6.167,2.875,0.072
25,-6.428,3.113,0.079
26,-1.241,3.363,0.086
27,6.584,3.630,0.094
28,-4.197,3.896,0.102
29,10.994,4.188,0.111
30,-2.607,4.474,0.120
31,13.044,4.788,0.129
32,2.62,5.099,0.139
33,7.304,5.426,0.149
34,15.105,5.776,0.160
35,5.968,6.120,0.171
36,16.065,6.493,0.182
37,15.652,6.875,0.194
38,4.842,7.246,0.206
39,1.692,7.619,0.218
40,6.961,8.012,0.231
41,-0.065,8.397,0.245
42,9.671,8.814,0.259
43,16.046,9.257,0.273
44,4.993,9.679,0.288
45,12.293,10.131,0.303
46,20.272,10.617,0.318
47,1.851,11.052,0.334
48,16.218,11.543,0.350
49,10.602,12.024,0.367
50,12.451,12.519,0.383
51,6.422,12.998,0.401
52,20.554,13.542,0.418
53,15.988,14.076,0.436
54,4.621,14.567,0.455
55,9.064,15.083,0.473
56,9.292,15.605,0.492
57,10.314,16.139,0.512
58,15.316,16.704,0.531
59,18.577,17.294,0.551
60,22.586,17.913,0.571
61,13.688,18.488,0.592
62,20.689,19.110,0.612
63,10.751,19.676,0.633
64,26.958,20.352,0.654
65,21.957,21.001,0.676
66,12.011,21.586,0.697
67,25.868,22.274,0.719
68,32.8,23.019,0.740
69,24.215,23.706,0.762
70,33.165,24.468,0.784
71,26.201,25.181,0.806
72,31.869,25.945,0.828
73,20.291,26.616,0.851
74,18.157,27.271,0.873
75,33.518,28.063,0.895
76,34.789,28.872,0.917
77,38.268,29.718,0.940
78,28.604,30.477,0.962
79,26.58,31.217,0.984
80,28.552,31.977,1.006
81,31.957,32.774,1.028
82,31.246,33.564,1.050
83,38.637,34.433,1.072
84,34.014,35.255,1.094
85,38.419,36.125,1.116
86,35.44,36.963,1.137
87,34.934,37.794,1.158
88,43.406,38.725,1.179
89,35.457,39.560,1.200
90,30.654,40.335,1.221
91,50.203,41.349,1.241
92,37.816,42.207,1.262
93,39.117,43.079,1.282
94,43.979,44.012,1.301
95,46.175,44.971,1.321
96,44.708,45.907,1.340
97,41.183,46.793,1.359
98,57.62,47.900,1.377
99,49.07,48.887,1.395
100,55.408,49.958,1.413
101,46.685,50.902,1.431
102,46.402,51.836,1.448
103,47.098,52.774,1.465
104,62.611,53.936,1.482
105,51.393,54.926,1.498
106,55.267,55.968,1.514
107,47.967,56.892,1.530
108,57.878,57.961,1.545
109,59.323,59.047,1.560
110,56.771,60.084,1.574
111,56.372,61.108,1.589
112,69.141,62.328,1.603
113,60.226,63.397,1.616
114,68.59,64.593,1.629
115,71.499,65.828,1.642
116,58.191,66.835,1.654
117,67.101,67.980,1.667
118,71.016,69.181,1.678
119,64.534,70.263,1.690
120,78.197,71.567,1.701
121,73.688,72.783,1.712
122,64.461,73.830,1.722
123,76.147,75.068,1.732
124,71.187,76.208,1.742
125,71.972,77.350,1.751
126,86.947,78.744,1.761
127,74.005,79.896,1.769
128,85.556,81.242,1.778
129,89.67,82.648,1.786
130,91.619,84.075,1.794
131,90.264,85.464,1.802
132,93.574,86.900,1.809
133,87.753,88.215,1.816
134,84.242,89.451,1.823
135,99.074,90.945,1.830
136,88.872,92.236,1.836
137,97.928,93.680,1.842
138,100.691,95.158,1.848
139,94.079,96.498,1.854
140,103.948,98.005,1.859
141,100.146,99.425,1.864
142,104.463,100.909,1.869
143,105.91,102.403,1.874
144,107.671,103.913,1.878
145,100.101,105.262,1.883
146,104.17,106.672,1.887
147,99.696,107.979,1.891
148,102.772,109.328,1.894
149,106.726,110.734,1.898
150,111.04,112.205,1.901
151,112.555,113.685,1.905
152,123.351,115.354,1.908
153,109.697,116.741,1.911
154,116.424,118.238,1.913
155,111.098,119.614,1.916
156,112.38,120.996,1.918
157,116.936,122.447,1.921
158,129.283,124.117,1.923
159,128.925,125.758,1.925
160,119.19,127.190,1.927
161,132.105,128.852,1.929
162,133.7,130.523,1.930
163,124.135,131.988,1.932
164,136.988,133.681,1.934
165,132.103,135.257,1.935
166,146.371,137.088,1.936
167,136.815,138.710,1.938
168,140.341,140.378,1.939
169,144.582,142.106,1.940
170,154.116,143.996,1.941
171,146.541,145.714,1.942
172,142.687,147.334,1.942
173,145.426,148.985,1.943
174,151.366,150.727,1.944
175,149.886,152.418,1.945
176,153.83,154.161,1.945
177,156.267,155.927,1.946
178,157.67,157.697,1.946
179,157.916,159.446,1.947
180,157.44,161.162,1.947
181,161.976,162.941,1.947
182,175.198,164.953,1.947
183,173.685,166.909,1.948
184,168.556,168.737,1.948
185,168.168,170.532,1.948
186,166.232,172.264,1.948
187,169.742,174.039,1.948
188,171.085,175.814,1.948
189,178.7,177.712,1.948
190,170.674,179.427,1.948
191,185.626,181.408,1.948
192,175.298,183.159,1.948
193,193.174,185.233,1.948
194,183.544,187.091,1.948
195,185.373,188.957,1.948
196,195.337,190.989,1.948
197,184.426,192.781,1.948
198,192.479,194.702,1.948
199,195.004,196.645,1.948
200,206.707,198.787,1.948
201,196.043,200.691,1.948
202,195.23,202.551,1.947
203,200.038,204.477,1.947
204,203.782,206.448,1.947
205,219.849,208.702,1.947
206,217.168,210.871,1.947
207,222.986,213.123,1.947
208,217.306,215.233,1.946
209,213.411,217.235,1.946
210,228.781,219.507,1.946
211,220.844,221.592,1.946
212,231.887,223.860,1.946
213,217.541,225.817,1.945
214,223.175,227.853,1.945
215,222.609,229.848,1.945
216,223.501,231.830,1.945
217,233.791,233.982,1.945
218,233.571,236.097,1.945
219,246.767,238.437,1.945
220,236.992,240.553,1.944
221,241.953,242.733,1.944
222,250.808,245.053,1.944
223,238.795,247.105,1.944
224,243.566,249.218,1.944
225,257.566,251.571,1.944
226,260.843,253.952,1.944
227,248.665,256.062,1.944
228,258.305,258.327,1.943
229,269.407,260.773,1.943
230,262.249,263.044,1.943
231,268.335,265.399,1.943
232,277.652,267.899,1.943
233,276.999,270.350,1.943
234,283.717,272.895,1.943
235,269.263,275.121,1.943
236,276.92,277.462,1.943
237,288.101,279.984,1.943
238,281.556,282.341,1.943
239,279.896,284.630,1.943
240,287.788,287.037,1.943
241,296.223,289.571,1.943
242,297.19,292.085,1.943
243,303.17,294.677,1.943
244,295.801,297.088,1.943
245,298.111,299.506,1.943
246,294.663,301.819,1.944
247,314.017,304.472,1.944
248,297.872,306.772,1.944
249,311.252,309.295,1.944
250,318.13,311.912,1.944
251,316.861,314.465,1.944
252,319.784,317.036,1.944
253,311.379,319.403,1.944
254,329.374,322.083,1.944
255,323.118,324.600,1.945
256,333.683,327.283,1.945
257,329.969,329.853,1.945
258,325.284,332.292,1.945
259,328.695,334.757,1.945
260,335.583,337.318,1.945
261,331.735,339.763,1.946
262,335.374,342.240,1.946
263,351.493,344.991,1.946
264,342.87,347.531,1.946
265,352.138,350.211,1.946
266,359.27,352.989,1.947
267,348.9,355.521,1.947
268,351.791,358.068,1.947
269,354.874,360.635,1.947
270,364.22,363.342,1.948
271,375.305,366.223,1.948
272,374.962,369.052,1.948
273,369.39,371.729,1.948
274,382.585,374.620,1.949
275,379.579,377.407,1.949
276,378.866,380.137,1.949
277,388.37,383.008,1.949
278,389.344,385.853,1.950
279,382.595,388.521,1.950
280,401.358,391.512,1.950
281,385.238,394.141,1.951
282,399.597,397.008,1.951
283,394.714,399.734,1.951
284,409.153,402.697,1.951
285,411.669,405.662,1.952
286,406.057,408.472,1.952
287,413.285,411.376,1.952
288,415.335,414.274,1.953
289,415.069,417.121,1.953
290,416.552,419.950,1.953
291,420.157,422.803,1.954
292,416.859,425.546,1.954
293,436.097,428.619,1.954
294,431.537,431.554,1.954
295,439.164,434.590,1.955
296,432.046,437.439,1.955
297,446.145,440.517,1.955
298,441.572,443.455,1.956
299,453.638,446.582,1.956
300,458.078,449.746,1.956
301,444.851,452.600,1.957
302,464.843,455.798,1.957
303,463.898,458.927,1.957
304,468.513,462.095,1.957
305,457.597,464.999,1.958
306,464.65,467.992,1.958
307,464.762,470.938,1.958
308,470.773,473.953,1.959
309,473.005,476.962,1.959
310,486.911,480.193,1.959
311,483.033,483.295,1.960
312,483.643,486.359,1.960
313,480.44,489.309,1.960
314,497.658,492.547,1.960
315,495.009,495.681,1.961
316,494.782,498.758,1.961
317,507.508,502.033,1.961
318,500.543,505.118,1.962
319,503.982,508.220,1.962
320,518.21,511.548,1.962
321,517.556,514.810,1.962
322,514.338,517.954,1.963
323,517.732,521.113,1.963
324,531.818,524.495,1.963
325,527.178,527.731,1.964
326,530.427,530.977,1.964
327,526.038,534.083,1.964
328,534.864,537.309,1.964
329,543.709,540.655,1.965
330,550.313,544.076,1.965
331,538.162,547.201,1.965
332,545.473,550.417,1.965
333,562.721,553.917,1.966
334,563.116,557.368,1.966
335,560.368,560.708,1.966
336,558.133,563.948,1.966
337,565.534,567.279,1.967
338,563.077,570.505,1.967
339,573.404,573.879,1.967
340,581.207,577.350,1.967
341,576.707,580.675,1.967
342,587.047,584.146,1.968
343,590.014,587.619,1.968
344,594.418,591.120,1.968
345,601.54,594.702,1.968
346,591.999,598.038,1.969
347,592.436,601.325,1.969
348,606.362,604.829,1.969
349,603.582,608.220,1.969
350,612.524,611.729,1.969
351,609.893,615.127,1.970
352,611.995,618.508,1.970
353,622.116,622.031,1.970
354,618.328,625.419,1.970
355,636.111,629.099,1.970
356,630.15,632.601,1.970
357,629.67,636.033,1.971
358,631.731,639.447,1.971
359,646.799,643.099,1.971
360,641.018,646.576,1.971
361,649.519,650.160,1.971
362,665.178,653.992,1.971
363,657.164,657.602,1.972
364,663.66,661.279,1.972
365,673.173,665.082,1.972
366,678.726,668.930,1.972
367,679.399,672.728,1.972
368,673.508,676.345,1.972
369,677.887,679.987,1.973
370,677.551,683.560,1.973
371,680.192,687.123,1.973
372,699.857,691.012,1.973
373,704.16,694.920,1.973
374,689.442,698.473,1.973
375,698.23,702.137,1.973
376,703.372,705.840,1.973
377,713.231,709.673,1.974
378,722.311,713.620,1.974
379,721.681,717.489,1.974
380,713.579,721.131,1.974
381,724.581,724.928,1.974
382,721.684,728.602,1.974
383,725.713,732.291,1.974
384,746.38,736.324,1.974
385,733.435,740.034,1.974
386,748.207,743.970,1.975
387,749.983,747.875,1.975
388,761.54,751.941,1.975
389,748.26,755.676,1.975
390,755.14,759.481,1.975
391,756.138,763.240,1.975
392,760.191,767.014,1.975
393,768.262,770.880,1.975
394,785.857,775.027,1.975
395,785.326,779.094,1.975
396,782.329,783.032,1.975
397,780.891,786.873,1.975
398,791.361,790.854,1.976
399,795.676,794.852,1.976
400,804.325,798.951,1.976
401,799.344,802.882,1.976
402,807.759,806.911,1.976
403,819.817,811.108,1.976
404,816.41,815.166,1.976
405,820.055,819.227,1.976
406,833.782,823.488,1.976
407,822.365,827.451,1.976
408,840.186,831.697,1.976
409,840.196,835.871,1.976
410,848.279,840.133,1.976
411,837.432,844.107,1.976
412,846.122,848.184,1.976
413,855.192,852.368,1.976
414,847.714,856.332,1.976
415,866.123,860.590,1.977
416,871.052,864.872,1.977
417,876.203,869.182,1.977
418,863.666,873.170,1.977
419,874.03,877.292,1.977
420,875.678,881.375,1.977
421,887.632,885.622,1.977
422,900.337,890.046,1.977
423,888.743,894.165,1.977
424,902.071,898.475,1.977
425,904.624,902.761,1.977
426,912.037,907.119,1.977
427,917.339,911.507,1.977
428,911.167,915.696,1.977
429,910.566,919.800,1.977
430,920.706,924.031,1.977
431,923.89,928.250,1.977
432,940.271,932.719,1.977
433,934.595,936.999,1.977
434,933.39,941.179,1.977
435,946.962,945.554,1.977
436,940.554,949.725,1.977
437,949.077,953.990,1.977
438,959.758,958.391,1.977
439,957.11,962.663,1.977
440,974.554,967.204,1.977
441,967.126,971.520,1.977
442,969.593,975.807,1.977
443,974.379,980.114,1.977
444,993.676,984.725,1.977
445,1000.103,989.384,1.977
446,990.298,993.769,1.977
447,1005.814,998.383,1.977
448,995.695,1002.717,1.977
